loan_amount,payments_term,monthly_payment,grade,working_years,home,annual_income,verification,purpose,debt_to_income,delinquency,inquiries,open_credit_lines,derogatory_records,revolving_balance,revolving_rate,total_accounts,bankruptcies,fico_average,loan_risk
6000,36 months,181.97,1,10,Mortgage,115000,Not Verified,debt_consolidation,10.15,0,2,8,0,76103,59.2,23,0,752,Fully Paid
17000,36 months,570.63,3,10,Own,66150,Not Verified,debt_consolidation,22.75,0,0,12,0,26146,76.2,36,0,707,Fully Paid
10000,36 months,339.69,3,8,Mortgage,122000,Not Verified,home_improvement,8.38,0,3,9,0,865,72.1,49,0,682,Fully Paid
7000,36 months,234.82,2,1,Rent,35000,Source Verified,medical,4.97,0,3,7,0,3547,31.1,13,0,682,Fully Paid
3200,36 months,100.28,1,1,Rent,43000,Not Verified,credit_card,8.6,0,0,10,0,5624,32,16,0,742,Fully Paid
6000,36 months,197.82,2,0,Rent,60000,Not Verified,other,9.12,1,0,5,0,8715,50.1,18,0,712,Fully Paid
24000,60 months,627.34,6,10,Mortgage,65000,Verified,debt_consolidation,19.26,0,0,9,0,9735,68.1,19,0,677,Charged Off
14400,60 months,367,6,10,Rent,45000,Verified,debt_consolidation,18.08,0,1,4,0,4286,99.7,7,0,692,Fully Paid
12000,36 months,407.09,3,10,Mortgage,43000,Not Verified,debt_consolidation,15.04,0,0,7,0,18494,81.8,10,0,682,Fully Paid
5000,36 months,173.24,4,4,Rent,31000,Not Verified,other,2.63,0,1,2,0,2550,67.1,3,0,692,Fully Paid
7500,36 months,177.68,2,3,Mortgage,145000,Not Verified,medical,5.53,0,2,14,0,26681,41.4,42,0,707,Fully Paid
6000,60 months,133.44,2,10,Rent,18000,Not Verified,small_business,16.27,0,0,4,0,12261,56.8,10,0,742,Charged Off
1600,36 months,54,3,10,Mortgage,41508,Not Verified,debt_consolidation,18.99,0,3,9,0,6281,62.8,19,0,672,Fully Paid
7200,36 months,232.29,2,3,Rent,125004,Source Verified,major_purchase,0.78,0,0,4,0,1728,36,13,0,702,Fully Paid
